file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,(initializer 1),false,49,1,16,0,16,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,next/0,false,57,5,3,0,3,2,2,9,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,16,1,0,false
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,remove/0,false,67,1,1,0,1,3,1,10,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,0,0,0,9,1,0,false
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,advanceToItem/0,false,78,0,0,0,0,3,0,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,5,2,0,false
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,hasNext/0,false,53,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
Project/Peergos/src/peergos/gwt/emu/java/io/RandomAccessFile.java,java.io.RandomAccessFile,setLength/1[long],false,50,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
Project/Peergos/src/peergos/gwt/emu/java/io/RandomAccessFile.java,java.io.RandomAccessFile,length/0,false,31,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
Project/Peergos/src/peergos/gwt/emu/java/io/RandomAccessFile.java,java.io.RandomAccessFile,close/0,false,28,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
Project/Peergos/src/peergos/gwt/emu/java/io/RandomAccessFile.java,java.io.RandomAccessFile,read/1[byte[]],false,39,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
Project/Peergos/src/peergos/gwt/emu/java/io/RandomAccessFile.java,java.io.RandomAccessFile,read/0,false,35,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
Project/Peergos/src/peergos/gwt/emu/java/io/RandomAccessFile.java,java.io.RandomAccessFile,seek/1[long],false,47,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
Project/Peergos/src/peergos/gwt/emu/java/io/RandomAccessFile.java,java.io.RandomAccessFile,"RandomAccessFile/2[java.io.File,java.lang.String]",true,23,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
Project/Peergos/src/peergos/gwt/emu/java/io/RandomAccessFile.java,java.io.RandomAccessFile,"read/3[byte[],int,int]",false,43,1,0,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
Project/Peergos/src/peergos/gwt/emu/java/io/RandomAccessFile.java,java.io.RandomAccessFile,write/1[byte[]],false,53,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
Project/Peergos/src/peergos/server/crypto/hash/lambdaworks/crypto/PBKDF.java,peergos.server.crypto.hash.lambdaworks.crypto.PBKDF,"pbkdf2/5[java.lang.String,byte[],byte[],int,int]",false,30,2,1,0,1,1,3,7,1,2,5,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,36,9,0,true
Project/Peergos/src/peergos/server/crypto/hash/lambdaworks/crypto/PBKDF.java,peergos.server.crypto.hash.lambdaworks.crypto.PBKDF,"pbkdf2/5[javax.crypto.Mac,byte[],int,byte[],int]",false,49,1,2,2,0,6,6,29,0,9,5,6,0,0,3,1,0,8,1,28,14,17,3,0,0,0,49,9,0,true
Project/Peergos/src/peergos/gwt/emu/javax/crypto/spec/SecretKeySpec.java,javax.crypto.spec.SecretKeySpec,"SecretKeySpec/2[byte[],java.lang.String]",true,6,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"putSigningKey/5[byte[],peergos.shared.user.PublicKeyHash,peergos.shared.user.PublicKeyHash,peergos.shared.storage.PublicSigningKey,peergos.shared.storage.TransactionId]",false,208,5,2,1,1,1,2,3,1,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"put/5[peergos.shared.user.PublicKeyHash,peergos.shared.storage.SigningPrivateKeyAndPublicHash,byte[],peergos.shared.storage.auth.Hasher,peergos.shared.storage.TransactionId]",false,64,6,3,3,0,1,4,3,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,startTransaction/1[peergos.shared.user.PublicKeyHash],false,94,2,6,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,getSize/1[peergos.shared.storage.auth.Multihash],false,172,1,6,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,getSigningKey/1[peergos.shared.user.PublicKeyHash],false,227,3,7,6,1,2,12,3,1,1,1,12,1,1,0,0,0,1,0,0,0,0,0,0,0,1,7,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"putRaw/6[peergos.shared.user.PublicKeyHash,peergos.shared.user.PublicKeyHash,byte[],byte[],peergos.shared.storage.TransactionId,peergos.shared.storage.ProgressConsumer<java.lang.Long>]",false,83,6,2,1,1,1,4,3,1,1,6,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,10,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"downloadFragments/6[peergos.shared.user.PublicKeyHash,java.util.List<peergos.shared.storage.auth.Cid>,java.util.List<peergos.shared.storage.auth.BatWithId>,peergos.shared.storage.auth.Hasher,peergos.shared.storage.ProgressConsumer<java.lang.Long>,double]",false,193,6,2,2,0,1,1,3,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,getBoxingKey/1[peergos.shared.user.PublicKeyHash],false,234,3,1,0,1,2,12,3,1,1,1,12,1,1,0,0,0,1,0,0,0,0,0,0,0,1,7,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"putRaw/6[peergos.shared.user.PublicKeyHash,peergos.shared.user.PublicKeyHash,java.util.List<byte[]>,java.util.List<byte[]>,peergos.shared.storage.TransactionId,peergos.shared.storage.ProgressConsumer<java.lang.Long>]",false,134,5,9,9,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"putSigningKey/4[byte[],peergos.shared.user.PublicKeyHash,peergos.shared.storage.PublicSigningKey,peergos.shared.storage.TransactionId]",false,200,5,1,0,1,1,1,3,1,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"buildCid/2[byte[],boolean]",false,184,2,1,1,0,2,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,directToOrigin/0,false,41,1,7,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,authReads/1[java.util.List<peergos.shared.storage.MirrorCap>],false,47,2,5,5,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"authWrites/6[peergos.shared.user.PublicKeyHash,peergos.shared.user.PublicKeyHash,java.util.List<byte[]>,java.util.List<java.lang.Integer>,boolean,peergos.shared.storage.TransactionId]",false,56,4,6,6,0,1,1,3,1,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"getRaw/2[peergos.shared.storage.auth.Cid,java.util.Optional<peergos.shared.storage.auth.BatWithId>]",false,151,3,9,9,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,id/0,false,88,1,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"closeTransaction/2[peergos.shared.user.PublicKeyHash,peergos.shared.storage.TransactionId]",false,102,2,6,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,clearBlockCache/0,false,39,0,4,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65536,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"getChampLookup/4[peergos.shared.storage.auth.Cid,byte[],java.util.Optional<peergos.shared.storage.auth.BatWithId>,peergos.shared.storage.auth.Hasher]",false,160,7,2,1,1,2,10,8,3,8,4,10,0,0,0,0,0,0,0,3,1,1,2,0,0,7,15,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,hashKey/1[peergos.shared.storage.PublicSigningKey],false,212,3,4,4,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,8,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"get/2[peergos.shared.storage.auth.Cid,java.util.Optional<peergos.shared.storage.auth.BatWithId>]",false,127,3,12,12,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"hashToCid/3[byte[],boolean,peergos.shared.storage.auth.Hasher]",false,179,3,0,0,0,1,3,3,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,blockStoreProperties/0,false,32,1,9,8,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"put/5[peergos.shared.user.PublicKeyHash,peergos.shared.user.PublicKeyHash,byte[],byte[],peergos.shared.storage.TransactionId]",false,73,5,2,1,1,1,4,3,1,1,5,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,8,65536,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"put/5[peergos.shared.user.PublicKeyHash,peergos.shared.user.PublicKeyHash,java.util.List<byte[]>,java.util.List<byte[]>,peergos.shared.storage.TransactionId]",false,111,4,9,9,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,true
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"getChampLookup/4[peergos.shared.user.PublicKeyHash,peergos.shared.storage.auth.Cid,byte[],java.util.Optional<peergos.shared.storage.auth.BatWithId>]",false,158,4,5,5,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
Project/Peergos/src/peergos/shared/storage/ContentAddressedStorage.java,peergos.shared.storage.ContentAddressedStorage,"putBoxingKey/4[peergos.shared.user.PublicKeyHash,byte[],peergos.shared.storage.PublicBoxingKey,peergos.shared.storage.TransactionId]",false,219,5,1,0,1,2,6,5,2,1,4,6,1,2,0,0,0,0,0,0,1,0,1,0,0,0,7,65536,0,false
Project/Peergos/src/peergos/server/tests/ArgsTests.java,peergos.server.tests.ArgsTests,parse/0,false,11,2,0,0,0,1,5,6,0,2,0,5,0,0,0,0,0,0,12,0,2,0,0,0,0,0,4,1,0,false
Project/Peergos/src/peergos/shared/zxing/common/reedsolomon/ReedSolomonException.java,peergos.shared.zxing.common.reedsolomon.ReedSolomonException,ReedSolomonException/1[java.lang.String],true,27,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
Project/Peergos/src/peergos/shared/user/CommitterBuilder.java,peergos.shared.user.CommitterBuilder,"buildCommitter/3[peergos.shared.user.Committer,peergos.shared.user.PublicKeyHash,java.util.function.Supplier<java.lang.Boolean>]",false,9,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
Project/Peergos/src/peergos/shared/zxing/common/detector/MathUtils.java,peergos.shared.zxing.common.detector.MathUtils,sum/1[int[]],false,70,1,0,0,0,2,0,7,1,1,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,8,9,0,true
Project/Peergos/src/peergos/shared/zxing/common/detector/MathUtils.java,peergos.shared.zxing.common.detector.MathUtils,round/1[float],false,36,0,2,2,0,2,0,3,1,0,1,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,38,9,0,true
Project/Peergos/src/peergos/shared/zxing/common/detector/MathUtils.java,peergos.shared.zxing.common.detector.MathUtils,MathUtils/0,true,24,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
Project/Peergos/src/peergos/shared/zxing/common/detector/MathUtils.java,peergos.shared.zxing.common.detector.MathUtils,"distance/4[float,float,float,float]",false,47,0,2,2,0,1,1,5,1,2,4,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,16,9,0,true
Project/Peergos/src/peergos/shared/zxing/common/detector/MathUtils.java,peergos.shared.zxing.common.detector.MathUtils,"distance/4[int,int,int,int]",false,60,0,1,1,0,1,1,5,1,2,4,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,16,9,0,true
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getSharedFiles/2[int,int]",false,173,6,1,0,1,1,2,3,1,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"addToFriend/3[java.lang.String,peergos.shared.social.ProcessedCaps,peergos.shared.social.CapsDiff]",false,306,6,2,0,2,1,9,7,1,4,3,9,1,2,0,0,0,0,0,0,3,0,0,0,0,1,13,34,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getOrMkdirToStoreMedia/2[java.lang.String,peergos.shared.LocalDateTime]",false,107,5,1,1,0,1,9,4,1,3,2,9,0,0,0,0,0,0,1,0,1,1,0,0,0,2,13,2,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"uploadMediaForPost/4[peergos.shared.crypto.hash.AsyncReader,int,peergos.shared.LocalDateTime,peergos.shared.util.ProgressConsumer<java.lang.Long>]",false,97,7,1,0,1,1,13,4,1,5,4,13,1,1,0,0,0,0,1,0,1,0,0,0,0,4,19,1,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"updatePost/2[java.lang.String,peergos.shared.social.SocialPost]",false,81,8,2,0,2,2,12,9,1,6,2,12,1,1,0,0,0,0,2,1,3,1,1,0,0,3,21,1,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,addToFeed/1[peergos.shared.List<peergos.shared.social.SharedItem>],false,316,5,3,2,1,4,12,17,3,6,1,12,1,1,1,0,1,0,0,0,2,0,3,0,0,5,30,34,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,update/0,false,236,6,0,0,0,1,25,11,3,22,0,25,0,0,0,0,0,0,0,0,2,0,2,0,0,16,32,33,0,true
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,ensureFeedUptodate/0,false,367,2,1,0,1,1,2,10,2,1,0,2,1,1,0,0,0,0,0,0,4,0,1,0,0,1,10,2,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"load/2[peergos.shared.FileWrapper,peergos.shared.util.UserContext]",false,377,5,0,0,0,2,8,7,2,3,2,8,0,0,0,0,0,0,1,0,0,0,2,0,0,3,17,9,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,createNewPost/1[peergos.shared.social.SocialPost],false,63,10,2,0,2,2,17,8,1,9,1,17,1,1,0,0,0,0,2,0,4,1,1,0,0,5,36,1,0,true
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,commit/0,false,221,4,3,1,2,1,4,10,2,3,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,2,6,34,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"mergeUpdates/1[peergos.shared.util.Collection<peergos.shared.util.Triple<java.lang.String,peergos.shared.social.ProcessedCaps,peergos.shared.social.CapsDiff>>]",false,282,9,1,0,1,2,8,10,1,4,1,8,1,2,1,0,0,0,0,0,3,0,1,0,0,1,15,34,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",false,335,6,0,0,0,3,20,32,7,14,2,20,0,0,0,1,0,0,1,1,6,0,4,0,0,11,29,34,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"mergeCommentReferences/1[peergos.shared.List<peergos.shared.util.Pair<peergos.shared.social.SharedItem,peergos.shared.FileWrapper>>]",false,178,7,0,0,0,1,20,8,2,11,1,20,0,0,0,0,0,0,1,0,2,1,1,0,0,9,18,2,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getShared/4[int,int,peergos.shared.util.Crypto,peergos.shared.NetworkAccess]",false,159,6,2,1,1,1,12,9,2,8,4,12,1,1,0,0,0,0,0,0,1,2,1,0,0,7,13,1,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,getDirFromHome/1[peergos.shared.social.SocialPost],false,116,2,2,2,0,1,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"SocialFeed/4[peergos.shared.FileWrapper,peergos.shared.FileWrapper,peergos.shared.social.SocialFeed.FeedState,peergos.shared.util.UserContext]",true,45,4,0,0,0,1,0,11,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,1,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"mergeCommentsIntoParent/2[java.lang.String,peergos.shared.List<peergos.shared.util.Triple<peergos.shared.social.SharedItem,peergos.shared.FileWrapper,peergos.shared.social.SocialPost>>]",false,198,7,0,0,0,3,22,21,6,11,2,22,0,0,0,0,0,0,0,0,3,0,3,0,0,9,23,2,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,getLastSeenIndex/0,false,133,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,0,false
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,create/1[peergos.shared.util.UserContext],false,399,4,0,0,0,1,10,8,2,5,1,10,0,0,0,0,0,0,0,3,2,0,1,0,0,3,15,9,0,false
